1901,1901 American League Team Review Hitting Statistics League Leaderboard,1901 American League Team Review Hitting Statistics League Leaderboard,1901 American League Team Review Hitting Statistics League Leaderboard
1925,Fewest Home Runs Allowed,Cleveland,41
1925,Fewest Walks Allowed,Chicago,489
1925,Saves,Washington,21
1925,Shutouts,Chicago,12
1925,Strikeouts,Philadelphia,495
1925,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1926,1926 American League Team Review Hitting Statistics League Leaderboard,1926 American League Team Review Hitting Statistics League Leaderboard,1926 American League Team Review Hitting Statistics League Leaderboard
1926,Statistic,Team,#
1926,Base on Balls,New York,642
1926,Batting Average,Washington,.292
1926,Doubles,Cleveland,333
1926,Hits,Detroit,1547
1926,Home Runs,New York,121
1926,On Base Percentage,New York,.369
1926,Runs,New York,847
1926,Slugging Average,New York,.437
1926,Stolen Bases,Chicago,123
1926,Triples,Washington,97
1926,1926 American League Team Review Pitching Statistics League Leaderboard,1926 American League Team Review Pitching Statistics League Leaderboard,1926 American League Team Review Pitching Statistics League Leaderboard
1926,Statistic,Team,#
1926,Complete Games,Cleveland,96
1926,ERA,Philadelphia,3.00
1926,Fewest Hits Allowed,Philadelphia,1362
1926,Fewest Home Runs Allowed,Philadelphia,38
1926,Fewest Walks Allowed,Cleveland,450
1926,Saves,Washington,26
1926,Shutouts,Chicago,11
1926,Shutouts,Cleveland,11
1926,Strikeouts,Philadelphia,571
1926,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1927,1927 American League Team Review Hitting Statistics League Leaderboard,1927 American League Team Review Hitting Statistics League Leaderboard,1927 American League Team Review Hitting Statistics League Leaderboard
1927,Statistic,Team,#
1927,Base on Balls,New York,635
1927,Batting Average,New York,.307
1927,Doubles,Cleveland,321
1927,Hits,New York,1644
1927,Home Runs,New York,158
1927,On Base Percentage,New York,.383
1927,Runs,New York,975
1927,Slugging Average,New York,.489
1927,Stolen Bases,Detroit,139
1927,Triples,New York,103
1927,Statistic,Team,#
1927,1927 A.L. Team Review,1927 A.L. Team Review,1927 A.L. Team Review
1927,1927 American League Team Review Pitching Statistics League Leaderboard,1927 American League Team Review Pitching Statistics League Leaderboard,1927 American League Team Review Pitching Statistics League Leaderboard
1927,Statistic,Team,#
1927,Complete Games,Chicago,85
1927,ERA,New York,3.20
1927,Fewest Hits Allowed,New York,1403
1927,Fewest Home Runs Allowed,Cleveland,37
1927,Fewest Walks Allowed,New York,409
1927,Saves,Philadelphia,24
1927,Shutouts,New York,11
1927,Strikeouts,Philadelphia,553
1927,Statistic,Team,#
1927,1927 A.L. Team Review,1927 A.L. Team Review,1927 A.L. Team Review
1928,1928 American League Team Review  Hitting Statistics League Leaderboard,1928 American League Team Review  Hitting Statistics League Leaderboard,1928 American League Team Review  Hitting Statistics League Leaderboard
1928,Statistic,Team,#
1928,Base on Balls,New York,562
1928,Batting Average,New York,.296
1928,Doubles,Philadelphia,323
1928,Hits,New York,1578
1928,Home Runs,New York,133
1928,On Base Percentage,New York,.365
1928,Runs,New York,894
1928,Slugging Average,New York,.450
1928,Stolen Bases,Chicago,139
1928,Triples,Detroit,97
1928,1928 American League Team Review  Pitching Statistics League Leaderboard,1928 American League Team Review  Pitching Statistics League Leaderboard,1928 American League Team Review  Pitching Statistics League Leaderboard
1928,Statistic,Team,#
1928,Complete Games,Chicago,88
1928,ERA,Philadelphia,3.37
1928,Fewest Hits Allowed,Philadelphia,1349
1928,Fewest Home Runs Allowed,Washington,40
1928,Fewest Walks Allowed,Philadelphia,424
1928,Saves,New York,21
1928,Shutouts,Philadelphia,15
1928,Shutouts,Washington,15
1928,Strikeouts,Philadelphia,607
1928,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1929,1929 American League Team Review  Hitting Statistics League Leaderboard,1929 American League Team Review  Hitting Statistics League Leaderboard,1929 American League Team Review  Hitting Statistics League Leaderboard
1929,Statistic,Team,#
1929,Base on Balls,St. Louis,589
1929,Batting Average,Detroit,.299
1929,Doubles,Detroit,339
1929,Hits,Detroit,1671
1929,Home Runs,New York,142
1929,On Base Percentage,Philadelphia,.365
1929,Runs,Detroit,926
1929,Slugging Average,Detroit,.453
1929,Stolen Bases,Chicago,109
1929,Triples,Detroit,97
1929,1929 American League Team Review  Pitching Statistics League Leaderboard,1929 American League Team Review  Pitching Statistics League Leaderboard,1929 American League Team Review  Pitching Statistics League Leaderboard
1929,Statistic,Team,#
1929,Complete Games,Boston,84
1929,ERA,Philadelphia,3.44
1929,Fewest Hits Allowed,Philadelphia,1371
1929,Fewest Home Runs Allowed,Washington,48
1929,Fewest Walks Allowed,St. Louis,462
1929,Saves,Philadelphia,24
1929,Shutouts,St. Louis,15
1929,Strikeouts,Philadelphia,573
1929,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1930,1930 American League Team Review Hitting Statistics League Leaderboard,1930 American League Team Review Hitting Statistics League Leaderboard,1930 American League Team Review Hitting Statistics League Leaderboard
1930,Statistic,Team,#
1930,Base on Balls,New York,644
1930,Batting Average,New York,.309
1930,Doubles,Cleveland,358
1930,Hits,New York,1683
1930,Home Runs,New York,152
1930,On Base Percentage,New York,.384
1930,Runs,New York,1062
1930,Slugging Average,New York,.488
1930,Stolen Bases,Washington,101
1930,Triples,New York,110
1930,1930 American League Team Review Pitching Statistics League Leaderboard,1930 American League Team Review Pitching Statistics League Leaderboard,1930 American League Team Review Pitching Statistics League Leaderboard
1930,Statistic,Team,#
1930,Complete Games,Washington,78
1930,ERA,Washington,3.97
1930,Fewest Hits Allowed,Washington,1367
1930,Fewest Home Runs Allowed,Washington,52
1930,Fewest Walks Allowed,Chicago,407
1930,Saves,Philadelphia,21
1930,Shutouts,Philadelphia,8
1930,Strikeouts,Philadelphia,672
1930,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1931,1931 American League Team Review  Hitting Statistics League Leaderboard,1931 American League Team Review  Hitting Statistics League Leaderboard,1931 American League Team Review  Hitting Statistics League Leaderboard
1931,Statistic,Team,#
1931,Base on Balls,New York,748
1931,Batting Average,New York,.297
1931,Doubles,Cleveland,321
1931,Hits,New York,1667
1931,Home Runs,New York,155
1931,On Base Percentage,New York,.383
1931,Runs,New York,1067
1931,Slugging Average,New York,.457
1931,Stolen Bases,New York,138
1931,Triples,Washington,93
1931,1931 American League Team Review  Pitching Statistics League Leaderboard,1931 American League Team Review  Pitching Statistics League Leaderboard,1931 American League Team Review  Pitching Statistics League Leaderboard
1931,Statistic,Team,#
1931,Complete Games,Philadelphia,97
1931,ERA,Philadelphia,3.47
1931,Fewest Hits Allowed,Philadelphia,1342
1931,Fewest Home Runs Allowed,Boston,54
1931,Fewest Walks Allowed,St. Louis,448
1931,Saves,Washington,24
1931,Shutouts,Philadelphia,12
1931,Strikeouts,New York,686
1931,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1932,1932 American League Team Review Hitting Statistics League Leaderboard,1932 American League Team Review Hitting Statistics League Leaderboard,1932 American League Team Review Hitting Statistics League Leaderboard
1932,Statistic,Team,#
1932,Base on Balls,New York,766
1932,Batting Average,Philadelphia,.290
1932,Doubles,Cleveland,310
1932,Hits,Philadelphia,1606
1932,Home Runs,Philadelphia,172
1932,On Base Percentage,New York,.376
1932,Runs,New York,1002
1932,Slugging Average,Philadelphia,.457
1932,Stolen Bases,Detroit,103
1932,Triples,Washington,100
1932,Statistic,Team,#
1932,1932 American League Team Review,1932 American League Team Review,1932 American League Team Review
1932,1932 American League Team Review Pitching Statistics League Leaderboard,1932 American League Team Review Pitching Statistics League Leaderboard,1932 American League Team Review Pitching Statistics League Leaderboard
1932,Statistic,Team,#
1932,Complete Games,New York,96
1932,ERA,New York,3.99
1932,Fewest Hits Allowed,Detroit,1421
1932,Fewest Home Runs Allowed,Cleveland,70
1932,Fewest Walks Allowed,Cleveland,446
1932,Saves,Washington,22
1932,Shutouts,New York,11
1932,Strikeouts,New York,780
1932,Statistic,Team,#
1932,1932 American League Team Review,1932 American League Team Review,1932 American League Team Review
1933,1933 American League Team Review Hitting Statistics League Leaderboard,1933 American League Team Review Hitting Statistics League Leaderboard,1933 American League Team Review Hitting Statistics League Leaderboard
1933,Statistic,Team,#
1933,Base on Balls,New York,700
1933,Batting Average,Washington,.287
1933,Doubles,Philadelphia,297
1933,Hits,Washington,1586
1933,Home Runs,New York,144
1933,On Base Percentage,New York,.369
1933,Runs,New York,927
1933,Slugging Average,New York,.440
1933,Slugging Average,Philadelphia,.440
1933,Stolen Bases,New York,76
1933,Triples,Washington,86
1933,1933 American League Team Review Pitching Statistics League Leaderboard,1933 American League Team Review Pitching Statistics League Leaderboard,1933 American League Team Review Pitching Statistics League Leaderboard
1933,Statistic,Team,#
1933,Complete Games,Cleveland,74
1933,ERA,Cleveland,3.71
1933,Fewest Hits Allowed,Cleveland,1382
1933,Fewest Home Runs Allowed,Cleveland,60
1933,Fewest Walks Allowed,Washington,452
1933,Saves,Washington,26
1933,Shutouts,Cleveland,12
1933,Strikeouts,New York,711
1933,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1934,1934 American League Team Review  Hitting Statistics League Leaderboard,1934 American League Team Review  Hitting Statistics League Leaderboard,1934 American League Team Review  Hitting Statistics League Leaderboard
1934,Statistic,Team,#
1934,Base on Balls,New York,700
1934,Batting Average,Detroit,.300
1934,Doubles,Detroit,349
1934,Hits,Detroit,1644
1934,Home Runs,Philadelphia,144
1934,On Base Percentage,Detroit,.376
1934,Runs,Detroit,958
1934,Slugging Average,Philadelphia,.425
1934,Stolen Bases,Detroit,125
1934,Triples,Boston,70
1934,1934 American League Team Review  Pitching Statistics League Leaderboard,1934 American League Team Review  Pitching Statistics League Leaderboard,1934 American League Team Review  Pitching Statistics League Leaderboard
1934,Statistic,Team,#
1934,Complete Games,New York,83
1934,ERA,New York,3.76
1934,Fewest Hits Allowed,New York,1349
1934,Fewest Home Runs Allowed,Cleveland,70
1934,Fewest Home Runs Allowed,Boston,70
1934,Fewest Walks Allowed,Detroit,488
1934,Saves,St. Louis,20
1934,Shutouts,Detroit,13
1934,Shutouts,New York,13
1934,Strikeouts,New York,656
1934,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1935,1935 American League Team Review Hitting Statistics League Leaderboard,1935 American League Team Review Hitting Statistics League Leaderboard,1935 American League Team Review Hitting Statistics League Leaderboard
1935,Statistic,Team,#
1935,Base on Balls,Detroit,627
1935,Batting Average,Detroit,.290
1935,Doubles,Cleveland,324
1935,Hits,Washington,1591
1935,Home Runs,Philadelphia,112
1935,On Base Percentage,Detroit,.366
1935,Runs,Detroit,919
1935,Slugging Average,Detroit,.435
1935,Stolen Bases,Boston,91
1935,Triples,Washington,95
1935,1935 American League Team Review Pitching Statistics League Leaderboard,1935 American League Team Review Pitching Statistics League Leaderboard,1935 American League Team Review Pitching Statistics League Leaderboard
1935,Statistic,Team,#
1935,Complete Games,Detroit,87
1935,ERA,New York,3.60
1935,Fewest Hits Allowed,New York,1276
1935,Fewest Home Runs Allowed,Boston,67
1935,Fewest Walks Allowed,Cleveland,457
1935,Saves,Cleveland,21
1935,Shutouts,Detroit,16
1935,Strikeouts,New York,594
1936,1936 American League Team Review Hitting Statistics League Leaderboard,1936 American League Team Review Hitting Statistics League Leaderboard,1936 American League Team Review Hitting Statistics League Leaderboard
1936,Statistic,Team,#
1936,Base on Balls,New York,700
1936,Batting Average,Cleveland,.304
1936,Doubles,Cleveland,357
1936,Hits,Cleveland,1715
1936,Home Runs,New York,182
1936,On Base Percentage,New York,.381
1936,Runs,New York,1065
1936,Slugging Average,New York,.483
1936,Stolen Bases,Washington,104
1936,Triples,Washington,84
1936,Statistic,Team,#
1936,1936 American League Team Review,1936 American League Team Review,1936 American League Team Review
1936,1936 American League Team Review Pitching Statistics League Leaderboard,1936 American League Team Review Pitching Statistics League Leaderboard,1936 American League Team Review Pitching Statistics League Leaderboard
1936,Statistic,Team,#
1936,Complete Games,Chicago,80
1936,ERA,New York,4.18
1936,Fewest Hits Allowed,New York,1474
1936,Fewest Home Runs Allowed,Cleveland,73
1936,Fewest Home Runs Allowed,Washington,73
1936,Fewest Walks Allowed,Boston,552
1936,Saves,New York,21
1936,Shutouts,Detroit,13
1936,Strikeouts,New York,624
1936,Statistic,Team,#
1936,1936 American League Team Review,1936 American League Team Review,1936 American League Team Review
1937,1937 American League Team Review Hitting Statistics League Leaderboard,1937 American League Team Review Hitting Statistics League Leaderboard,1937 American League Team Review Hitting Statistics League Leaderboard
1937,Statistic,Team,#
1937,Base on Balls,New York,709
1937,Batting Average,Detroit,.292
1937,Doubles,St. Louis,327
1937,Hits,Detroit,1611
1937,Home Runs,New York,174
1937,On Base Percentage,Detroit,.370
1937,Runs,New York,979
1937,Slugging Average,New York,.456
1937,Stolen Bases,Philadelphia,95
1937,Triples,Washington,84
1937,1937 American League Team Review Pitching Statistics League Leaderboard,1937 American League Team Review Pitching Statistics League Leaderboard,1937 American League Team Review Pitching Statistics League Leaderboard
1937,Statistic,Team,#
1937,Complete Games,New York,82
1937,ERA,New York,3.65
1937,Fewest Hits Allowed,New York,1417
1937,Fewest Home Runs Allowed,Cleveland,61
1937,Fewest Walks Allowed,New York,506
1937,Saves,Chicago,21
1937,Saves,New York,21
1937,Shutouts,Chicago,15
1937,Shutouts,New York,15
1937,Strikeouts,Boston,682
1937,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1938,1938 American League Team Review Hitting Statistics League Leaderboard,1938 American League Team Review Hitting Statistics League Leaderboard,1938 American League Team Review Hitting Statistics League Leaderboard
1938,Statistic,Team,#
1938,Base on Balls,New York,749
1938,Batting Average,Boston,.299
1938,Doubles,Cleveland,300
1938,Hits,Washington,1602
1938,Home Runs,New York,174
1938,On Base Percentage,Boston,.378
1938,Runs,New York,966
1938,Slugging Average,New York,.446
1938,Stolen Bases,New York,91
1938,Triples,Cleveland,89
1938,Statistic,Team,#
1938,1938 American League Team Review Pitching Statistics League Leaderboard,1938 American League Team Review Pitching Statistics League Leaderboard,1938 American League Team Review Pitching Statistics League Leaderboard
1938,Statistic,Team,#
1938,Complete Games,New York,91
1938,ERA,New York,3.92
1938,Fewest Hits Allowed,Cleveland,1416
1938,Fewest Home Runs Allowed,New York,85
1938,Fewest Walks Allowed,Boston,528
1938,Saves,Cleveland,17
1938,Shutouts,New York,11
1938,Strikeouts,Cleveland,717
1938,Statistic,Team,#
1938,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1939,1939 American League Team Review  Hitting Statistics League Leaderboard,1939 American League Team Review  Hitting Statistics League Leaderboard,1939 American League Team Review  Hitting Statistics League Leaderboard
1939,Statistic,Team,#
1939,Base on Balls,New York,701
1939,Batting Average,Boston,.291
1939,Doubles,Cleveland,291
1939,Hits,Boston,1543
1939,Home Runs,New York,166
1939,On Base Percentage,New York,.374
1939,Runs,New York,967
1939,Slugging Average,New York,.451
1939,Stolen Bases,Chicago,113
1939,Triples,Cleveland,79
1939,Triples,Washington,79
1939,1939 American League Team Review  Pitching Statistics League Leaderboard,1939 American League Team Review  Pitching Statistics League Leaderboard,1939 American League Team Review  Pitching Statistics League Leaderboard
1939,Statistic,Team,#
1939,Complete Games,New York,87
1939,ERA,New York,3.31
1939,Fewest Hits Allowed,New York,1208
1939,Fewest Home Runs Allowed,Cleveland,75
1939,Fewest Home Runs Allowed,Washington,75
1939,Fewest Walks Allowed,Chicago,454
1939,Saves,New York,26
1939,Shutouts,New York,15
1939,Strikeouts,Detroit,633
1939,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1940,1940 American League Team Review Hitting Statistics League Leaderboard,1940 American League Team Review Hitting Statistics League Leaderboard,1940 American League Team Review Hitting Statistics League Leaderboard
1940,Statistic,Team,#
1940,Base on Balls,Detroit,664
1940,Batting Average,Detroit,.286
1940,Doubles,Detroit,312
1940,Hits,Boston,1566
1940,Home Runs,New York,155
1940,On Base Percentage,Detroit,.366
1940,Runs,Detroit,888
1940,Slugging Average,Boston,.449
1940,Stolen Bases,Washington,94
1940,Triples,Boston,80
1940,1940 American League Team Review Pitching Statistics League Leaderboard,1940 American League Team Review Pitching Statistics League Leaderboard,1940 American League Team Review Pitching Statistics League Leaderboard
1940,Statistic,Team,#
1940,Complete Games,Chicago,83
1940,ERA,Cleveland,3.64
1940,Fewest Hits Allowed,Cleveland,1328
1940,Fewest Home Runs Allowed,Cleveland,86
1940,Fewest Walks Allowed,Chicago,480
1940,Saves,Detroit,23
1940,Shutouts,Cleveland,13
1940,Strikeouts,Detroit,752
1940,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1941,1941 American League Team Review Hitting Statistics League Leaderboard,1941 American League Team Review Hitting Statistics League Leaderboard,1941 American League Team Review Hitting Statistics League Leaderboard
1941,Statistic,Team,#
1941,Base on Balls,St. Louis,775
1941,Batting Average,Boston,.283
1941,Doubles,Boston,304
1941,Hits,Boston,1517
1941,Home Runs,New York,151
1941,On Base Percentage,Boston,.366
1941,Runs,Boston,865
1941,Slugging Average,Boston,.430
1941,Stolen Bases,Chicago,91
1941,Triples,Cleveland,84
1941,Statistic,Team,#
1941,1941 American League Team Review Pitching Statistics League Leaderboard,1941 American League Team Review Pitching Statistics League Leaderboard,1941 American League Team Review Pitching Statistics League Leaderboard
1941,Statistic,Team,#
1941,Complete Games,Chicago,106
1941,ERA,Chicago,3.52
1941,Fewest Hits Allowed,New York,1309
1941,Fewest Home Runs Allowed,Washington,69
1941,Fewest Walks Allowed,Chicago,521
1941,Saves,New York,26
1941,Shutouts,Chicago,14
1941,Strikeouts,Detroit,697
1941,Statistic,Team,#
1951,1951 American League Team Review Hitting Statistics League Leaderboard,1951 American League Team Review Hitting Statistics League Leaderboard,1951 American League Team Review Hitting Statistics League Leaderboard
1951,Statistic,Team,#
1951,Base on Balls,Boston,756
1951,Batting Average,Chicago,.270
1951,Doubles,Philadelphia,262
1951,Hits,Chicago,1453
1951,Home Runs,Cleveland,140
1951,Home Runs,New York,140
1951,On Base Percentage,Boston,.358
1951,Runs,Boston,804
1951,Slugging Average,New York,.408
1951,Stolen Bases,Chicago,99
1951,Triples,Chicago,64
1951,1951 American League Team Review Pitching Statistics League Leaderboard,1951 American League Team Review Pitching Statistics League Leaderboard,1951 American League Team Review Pitching Statistics League Leaderboard
1951,Statistic,Team,#
1951,Complete Games,Cleveland,76
1951,ERA,Cleveland,3.39
1951,Fewest Hits Allowed,Cleveland,1287
1951,Fewest Home Runs Allowed,Cleveland,85
1951,Fewest Walks Allowed,Chicago,549
1951,Saves,Boston,24
1951,Shutouts,New York,24
1951,Strikeouts,New York,664
1953,1953 American League Team Review Hitting Statistics League Leaderboard,1953 American League Team Review Hitting Statistics League Leaderboard,1953 American League Team Review Hitting Statistics League Leaderboard
1953,Statistic,Team,#
1953,Base on Balls,New York,656
1953,Batting Average,New York,.273
1953,Doubles,Detroit,259
1953,Hits,Detroit,1479
1953,Home Runs,Cleveland,160
1953,On Base Percentage,New York,.359
1953,Runs,New York,801
1953,Slugging Average,New York,.417
1953,Stolen Bases,Chicago,73
1953,Triples,Chicago,53
1953,Triples,Washington,53
1953,1953 American League Team Review Pitching Statistics League Leaderboard,1953 American League Team Review Pitching Statistics League Leaderboard,1953 American League Team Review Pitching Statistics League Leaderboard
1953,Statistic,Team,#
1953,Complete Games,Cleveland,81
1953,ERA,New York,3.21
1953,Fewest Hits Allowed,New York,1286
1953,Fewest Home Runs Allowed,Boston,92
1953,Fewest Home Runs Allowed,Cleveland,92
1953,Fewest Walks Allowed,Washington,478
1953,Saves,New York,39
1953,Shutouts,New York,18
1953,Strikeouts,Chicago,714
1954,1954 American League Team Review Hitting Statistics League Leaderboard,1954 American League Team Review Hitting Statistics League Leaderboard,1954 American League Team Review Hitting Statistics League Leaderboard
1954,Statistic,Team,#
1954,Base on Balls,Boston,654
1954,Batting Average,New York,.268
1954,Doubles,Boston,244
1954,Hits,Boston,1436
1954,Home Runs,Cleveland,156
1954,On Base Percentage,New York,.351
1954,Runs,New York,805
1954,Slugging Average,New York,.408
1954,Stolen Bases,Chicago,98
1954,Triples,Washington,69
1954,1954 American League Team Review Pitching Statistics League Leaderboard,1954 American League Team Review Pitching Statistics League Leaderboard,1954 American League Team Review Pitching Statistics League Leaderboard
1954,Statistic,Team,#
1954,Complete Games,Cleveland,77
1954,ERA,Cleveland,2.79
1954,Fewest Hits Allowed,Cleveland,1220
1954,Fewest Home Runs Allowed,Baltimore,78
1954,Fewest Walks Allowed,Cleveland,486
1954,Saves,New York,37
1954,Shutouts,Chicago,23
1954,Strikeouts,Boston,707
1955,1955 American League Team Review Hitting Statistics League Leaderboard,1955 American League Team Review Hitting Statistics League Leaderboard,1955 American League Team Review Hitting Statistics League Leaderboard
1955,Statistic,Team,#
1955,Base on Balls,Cleveland,723
1955,Batting Average,Chicago,.268
1955,Doubles,Boston,241
1955,Hits,Detroit,1407
1955,Home Runs,New York,175
1955,On Base Percentage,Boston,.354
1955,Runs,Detroit,775
1955,Slugging Average,New York,.418
1955,Stolen Bases,Chicago,69
1955,Triples,New York,55
1955,1955 American League Team Review Pitching Statistics League Leaderboard,1955 American League Team Review Pitching Statistics League Leaderboard,1955 American League Team Review Pitching Statistics League Leaderboard
1955,Statistic,Team,#
1955,Complete Games,Detroit,66
1955,ERA,New York,3.23
1955,Fewest Hits Allowed,New York,1163
1955,Fewest Home Runs Allowed,Washington,99
1955,Fewest Walks Allowed,Chicago,497
1955,Saves,Cleveland,36
1955,Shutouts,Chicago,20
1955,Strikeouts,Cleveland,877
1956,1956 American League Team Review Hitting Statistics League Leaderboard,1956 American League Team Review Hitting Statistics League Leaderboard,1956 American League Team Review Hitting Statistics League Leaderboard
1956,Statistic,Team,#
1956,Base on Balls,Boston,727
1956,Batting Average,Detroit,.279
1956,Doubles,Boston,261
1956,Hits,Detroit,1494
1956,Home Runs,New York,190
1956,On Base Percentage,Boston,.365
1956,Runs,New York,857
1956,Slugging Average,New York,.434
1956,Stolen Bases,Chicago,70
1956,Triples,Washington,62
1956,1956 American League Team Review Pitching Statistics League Leaderboard,1956 American League Team Review Pitching Statistics League Leaderboard,1956 American League Team Review Pitching Statistics League Leaderboard
1956,Statistic,Team,#
1956,Complete Games,Cleveland,67
1956,ERA,Cleveland,3.33
1956,Fewest Hits Allowed,Cleveland,1233
1956,Fewest Home Runs Allowed,Baltimore,99
1956,Fewest Walks Allowed,Chicago,524
1956,Saves,New York,35
1956,Shutouts,Cleveland,17
1956,Strikeouts,Cleveland,845
1957,1957 American League Team Review Hitting Statistics League Leaderboard,1957 American League Team Review Hitting Statistics League Leaderboard,1957 American League Team Review Hitting Statistics League Leaderboard
1957,Statistic,Team,#
1957,Base on Balls,Chicago,633
1957,Batting Average,New York,.268
1957,Doubles,Boston,231
1957,Hits,New York,1412
1957,Home Runs,Kansas City,166
1957,On Base Percentage,Chicago,.347
1957,Runs,New York,723
1957,Slugging Average,New York,.409
1957,Stolen Bases,Chicago,109
1957,Triples,New York,54
1957,1957 American League Team Review Pitching Statistics League Leaderboard,1957 American League Team Review Pitching Statistics League Leaderboard,1957 American League Team Review Pitching Statistics League Leaderboard
1957,Statistic,Team,#
1957,Complete Games,Chicago,59
1957,ERA,New York,3.00
1957,Fewest Hits Allowed,New York,1198
1957,Fewest Home Runs Allowed,Baltimore,95
1957,Fewest Walks Allowed,Chicago,470
1957,Saves,New York,42
1957,Shutouts,Chicago,16
1957,Strikeouts,New York,810
