1901,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →
1918,Triples,Ty Cobb,Detroit,14,Top 25
1918,Statistic,Name(s),Team(s),#,Top 25
1918,1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1919,1919 American League Player Review ← 1918 | 1919 Hitting Statistics League Leaders | 1920 →,1919 American League Player Review ← 1918 | 1919 Hitting Statistics League Leaders | 1920 →,1919 American League Player Review ← 1918 | 1919 Hitting Statistics League Leaders | 1920 →,1919 American League Player Review ← 1918 | 1919 Hitting Statistics League Leaders | 1920 →,1919 American League Player Review ← 1918 | 1919 Hitting Statistics League Leaders | 1920 →
1919,Statistic,Name(s),Team(s),#,Top 25
1919,Base on Balls,Jack Graney,Cleveland,105,Top 25
1919,Batting Average,Ty Cobb,Detroit,.384,Top 25
1919,Doubles,BobbyVeach,Detroit,45,Top 25
1919,Hits,Ty Cobb,Detroit,191,Top 25
1919,Hits,BobbyVeach,Detroit,191,Top 25
1919,Home Runs,Babe Ruth,Boston,29,Top 25
1919,On Base Percentage,Babe Ruth,Boston,.456,Top 25
1919,RBI,Babe Ruth,Boston,114,Top 25
1919,Runs,Babe Ruth,Boston,103,Top 25
1919,Slugging Average,Babe Ruth,Boston,.657,Top 25
1919,Stolen Bases,Eddie Collins,Chicago,33,Top 25
1919,Total Bases,Babe Ruth,Boston,284,Top 25
1919,Triples,BobbyVeach,Detroit,17,Top 25
1919,Statistic,Name(s),Team(s),#,Top 25
1919,1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1920,1920 American League Player Review ← 1919 | 1920 Hitting Statistics League Leaders | 1921 →,1920 American League Player Review ← 1919 | 1920 Hitting Statistics League Leaders | 1921 →,1920 American League Player Review ← 1919 | 1920 Hitting Statistics League Leaders | 1921 →,1920 American League Player Review ← 1919 | 1920 Hitting Statistics League Leaders | 1921 →,1920 American League Player Review ← 1919 | 1920 Hitting Statistics League Leaders | 1921 →
1920,Statistic,Name(s),Team(s),#,Top 25
1920,Base on Balls,Babe Ruth,New York,150,Top 25
1920,Batting Average,George Sisler,St. Louis,.407,Top 25
1920,Doubles,Tris Speaker,Cleveland,50,Top 25
1920,Hits,George Sisler,St. Louis,257,Top 25
1920,Home Runs,Babe Ruth,New York,54,Top 25
1920,On Base Percentage,Babe Ruth,New York,.532,Top 25
1920,RBI,Babe Ruth,New York,137,Top 25
1920,Runs,Babe Ruth,New York,158,Top 25
1920,Slugging Average,Babe Ruth,New York,.847,Top 25
1920,Stolen Bases,Sam Rice,Washington,63,Top 25
1920,Total Bases,George Sisler,St. Louis,399,Top 25
1920,Triples,Joe Jackson,Chicago,20,Top 25
1920,Statistic,Name(s),Team(s),#,Top 25
1920,1920 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1920 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1920 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1920 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1920 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1921,1921 American League Player Review ← 1920 | 1921 Hitting Statistics League Leaders | 1922 →,1921 American League Player Review ← 1920 | 1921 Hitting Statistics League Leaders | 1922 →,1921 American League Player Review ← 1920 | 1921 Hitting Statistics League Leaders | 1922 →,1921 American League Player Review ← 1920 | 1921 Hitting Statistics League Leaders | 1922 →,1921 American League Player Review ← 1920 | 1921 Hitting Statistics League Leaders | 1922 →
1921,Statistic,Name(s),Team(s),#,Top 25
1921,Base on Balls,Babe Ruth,New York,145,Top 25
1921,Batting Average,Harry Heilmann,Detroit,.394,Top 25
1921,Doubles,Tris Speaker,Cleveland,52,Top 25
1921,Hits,Harry Heilmann,Detroit,237,Top 25
1921,Home Runs,Babe Ruth,New York,59,Top 25
1921,On Base Percentage,Babe Ruth,New York,.512,Top 25
1921,RBI,Babe Ruth,New York,171,Top 25
1921,Runs,Babe Ruth,New York,177,Top 25
1921,Slugging Average,Babe Ruth,New York,.846,Top 25
1921,Stolen Bases,George Sisler,St. Louis,35,Top 25
1921,Total Bases,Babe Ruth,New York,457,Top 25
1921,Triples,Howie Shanks,Washington,18,Top 25
1921,Triples,George Sisler,St. Louis,18,Top 25
1921,Triples,Jack Tobin,St. Louis,18,Top 25
1921,Statistic,Name(s),Team(s),#,Top 25
1921,1921 A.L. History | 1921 N.L. History | Year-by-Year History,1921 A.L. History | 1921 N.L. History | Year-by-Year History,1921 A.L. History | 1921 N.L. History | Year-by-Year History,1921 A.L. History | 1921 N.L. History | Year-by-Year History,1921 A.L. History | 1921 N.L. History | Year-by-Year History
1922,1922 American League Player Review ← 1921 | 1922 Hitting Statistics League Leaders | 1923 →,1922 American League Player Review ← 1921 | 1922 Hitting Statistics League Leaders | 1923 →,1922 American League Player Review ← 1921 | 1922 Hitting Statistics League Leaders | 1923 →,1922 American League Player Review ← 1921 | 1922 Hitting Statistics League Leaders | 1923 →,1922 American League Player Review ← 1921 | 1922 Hitting Statistics League Leaders | 1923 →
1922,Statistic,Name(s),Team(s),#,Top 25
1922,Base on Balls,Whitey Witt,New York,89,Top 25
1922,Batting Average,George Sisler,St. Louis,.420,Top 25
1922,Doubles,Tris Speaker,Cleveland,48,Top 25
1922,Hits,George Sisler,St. Louis,246,Top 25
1922,Home Runs,Ken Williams,St. Louis,39,Top 25
1922,On Base Percentage,Tris Speaker,Cleveland,.474,Top 25
1922,RBI,Ken Williams,St. Louis,155,Top 25
1922,Runs,George Sisler,St. Louis,134,Top 25
1922,Slugging Average,Babe Ruth,New York,.672,Top 25
1922,Stolen Bases,George Sisler,St. Louis,51,Top 25
1922,Total Bases,Ken Williams,St. Louis,367,Top 25
1922,Triples,George Sisler,St. Louis,18,Top 25
1922,Statistic,Name(s),Team(s),#,Top 25
1922,1922 A.L. History | 1922 N.L. History | Year-by-Year History,1922 A.L. History | 1922 N.L. History | Year-by-Year History,1922 A.L. History | 1922 N.L. History | Year-by-Year History,1922 A.L. History | 1922 N.L. History | Year-by-Year History,1922 A.L. History | 1922 N.L. History | Year-by-Year History
1923,1923 American League Player Review  Hitting Statistics League Leaderboard,1923 American League Player Review  Hitting Statistics League Leaderboard,1923 American League Player Review  Hitting Statistics League Leaderboard,1923 American League Player Review  Hitting Statistics League Leaderboard,1923 American League Player Review  Hitting Statistics League Leaderboard
1923,Statistic,Name(s),Team(s),#,Top 25
1923,Base on Balls,Babe Ruth,New York,170,Top 25
1923,Batting Average,Harry Heilmann,Detroit,.403,Top 25
1923,Doubles,Tris Speaker,Cleveland,59,Top 25
1923,Hits,Charlie Jamieson,Cleveland,222,Top 25
1923,Home Runs,Babe Ruth,New York,41,Top 25
1923,On Base Percentage,Babe Ruth,New York,.545,Top 25
1923,RBI,Babe Ruth,New York,131,Top 25
1923,Runs,Babe Ruth,New York,151,Top 25
1923,Slugging Average,Babe Ruth,New York,.764,Top 25
1923,Stolen Bases,Eddie Collins,Chicago,48,Top 25
1923,Total Bases,Babe Ruth,New York,399,Top 25
1923,Triples,Goose Goslin,Washington,18,Top 25
1923,Triples,Sam Rice,Washington,18,Top 25
1923,Statistic,Name(s),Team(s),#,Top 25
1924,1924 American League Player Review  Hitting Statistics League Leaderboard,1924 American League Player Review  Hitting Statistics League Leaderboard,1924 American League Player Review  Hitting Statistics League Leaderboard,1924 American League Player Review  Hitting Statistics League Leaderboard,1924 American League Player Review  Hitting Statistics League Leaderboard
1924,Statistic,Name(s),Team(s),#,Top 25
1924,Base on Balls,Babe Ruth,New York,142,Top 25
1924,Batting Average,Babe Ruth,New York,.378,Top 25
1924,Doubles,Harry Heilmann,Detroit,45,Top 25
1924,Doubles,Joe Sewell,Cleveland,45,Top 25
1924,Hits,Sam Rice,Washington,216,Top 25
1924,Home Runs,Babe Ruth,New York,46,Top 25
1924,On Base Percentage,Babe Ruth,New York,.513,Top 25
1924,RBI,Goose Goslin,Washington,129,Top 25
1924,Runs,Babe Ruth,New York,143,Top 25
1924,Slugging Average,Babe Ruth,New York,.739,Top 25
1924,Stolen Bases,Eddie Collins,Chicago,42,Top 25
1924,Total Bases,Babe Ruth,New York,391,Top 25
1924,Triples,Wally Pipp,New York,19,Top 25
1924,Statistic,Name(s),Team(s),#,Top 25
1925,1925 American League Player Review  Hitting Statistics League Leaderboard,1925 American League Player Review  Hitting Statistics League Leaderboard,1925 American League Player Review  Hitting Statistics League Leaderboard,1925 American League Player Review  Hitting Statistics League Leaderboard,1925 American League Player Review  Hitting Statistics League Leaderboard
1925,Statistic,Name(s),Team(s),#,Top 25
1925,Base on Balls,Willie Kamm,Chicago,90,Top 25
1925,Base on Balls,Johnny Mostil,Chicago,90,Top 25
1925,Batting Average,Harry Heilmann,Detroit,.393,Top 25
1925,Doubles,Marty McManus,St. Louis,44,Top 25
1925,Hits,Al Simmons,Philadelphia,253,Top 25
1925,Home Runs,Bob Meusel,New York,33,Top 25
1925,On Base Percentage,Tris Speaker,Cleveland,.479,Top 25
1925,RBI,Bob Meusel,New York,138,Top 25
1925,Runs,Johnny Mostil,Chicago,135,Top 25
1925,Slugging Average,Ken Williams,St. Louis,.613,Top 25
1925,Stolen Bases,Johnny Mostil,Chicago,43,Top 25
1925,Total Bases,Al Simmons,Philadelphia,392,Top 25
1925,Triples,Goose Goslin,Washington,20,Top 25
1925,Statistic,Name(s),Team(s),#,Top 25
1926,1926 American League Player Review Hitting Statistics League Leaderboard,1926 American League Player Review Hitting Statistics League Leaderboard,1926 American League Player Review Hitting Statistics League Leaderboard,1926 American League Player Review Hitting Statistics League Leaderboard,1926 American League Player Review Hitting Statistics League Leaderboard
1926,Statistic,Name(s),Team(s),#,Top 25
1926,Base on Balls,Babe Ruth,New York,144,Top 25
1926,Batting Average,Heinie Manush,Detroit,.378,Top 25
1926,Doubles,George Burns,Cleveland,64,Top 25
1926,Hits,Sam Rice,Washington,216,Top 25
1926,Home Runs,Babe Ruth,New York,47,Top 25
1926,On Base Percentage,Babe Ruth,New York,.516,Top 25
1926,RBI,Babe Ruth,New York,146,Top 25
1926,Runs,Babe Ruth,New York,139,Top 25
1926,Slugging Average,Babe Ruth,New York,.737,Top 25
1926,Stolen Bases,Johnny Mostil,Chicago,35,Top 25
1926,Total Bases,Babe Ruth,New York,365,Top 25
1926,Triples,Babe Ruth,New York,20,Top 25
1926,Statistic,Name(s),Team(s),#,Top 25
1927,1927 American League Player Review ← 1926 | 1927 Hitting Statistics League Leaders | 1928 →,1927 American League Player Review ← 1926 | 1927 Hitting Statistics League Leaders | 1928 →,1927 American League Player Review ← 1926 | 1927 Hitting Statistics League Leaders | 1928 →,1927 American League Player Review ← 1926 | 1927 Hitting Statistics League Leaders | 1928 →,1927 American League Player Review ← 1926 | 1927 Hitting Statistics League Leaders | 1928 →
1927,Statistic,Name(s),Team(s),#,Top 25
1927,Base on Balls,Babe Ruth,New York,137,Top 25
1927,Batting Average,Harry Heilmann,Detroit,.398,Top 25
1927,Doubles,Lou Gehrig,New York,52,Top 25
1927,Hits,Earle Combs,New York,231,Top 25
1927,Home Runs,Babe Ruth,New York,60,Top 25
1927,On Base Percentage,Babe Ruth,New York,.486,Top 25
1927,RBI,Lou Gehrig,New York,175,Top 25
1927,Runs,Babe Ruth,New York,158,Top 25
1927,Slugging Average,Babe Ruth,New York,.772,Top 25
1927,Stolen Bases,George Sisler,St. Louis,27,Top 25
1927,Total Bases,Lou Gehrig,New York,447,Top 25
1927,Triples,Earle Combs,New York,23,Top 25
1927,Statistic,Name(s),Team(s),#,Top 25
1927,1927 A.L. History | 1927 N.L. History | Year-by-Year History,1927 A.L. History | 1927 N.L. History | Year-by-Year History,1927 A.L. History | 1927 N.L. History | Year-by-Year History,1927 A.L. History | 1927 N.L. History | Year-by-Year History,1927 A.L. History | 1927 N.L. History | Year-by-Year History
1928,1928 American League Player Review  Hitting Statistics League Leaderboard,1928 American League Player Review  Hitting Statistics League Leaderboard,1928 American League Player Review  Hitting Statistics League Leaderboard,1928 American League Player Review  Hitting Statistics League Leaderboard,1928 American League Player Review  Hitting Statistics League Leaderboard
1928,Statistic,Name(s),Team(s),#,Top 25
1928,Base on Balls,Babe Ruth,New York,137,Top 25
1928,Batting Average,Goose Goslin,Washington,.379,Top 25
1928,Doubles,Lou Gehrig,New York,47,Top 25
1928,Doubles,Henie Manush,St. Louis,47,Top 25
1928,Hits,Henie Manush,St. Louis,241,Top 25
1928,Home Runs,Babe Ruth,New York,54,Top 25
1928,On Base Percentage,Lou Gehrig,New York,.467,Top 25
1928,RBI,Lou Gehrig,New York,142,Top 25
1928,RBI,Babe Ruth,New York,142,Top 25
1928,Runs,Babe Ruth,New York,163,Top 25
1928,Slugging Average,Babe Ruth,New York,.709,Top 25
1928,Stolen Bases,Buddy Myer,Boston,30,Top 25
1928,Total Bases,Babe Ruth,New York,380,Top 25
1928,Triples,Earle Combs,New York,21,Top 25
1928,Statistic,Name(s),Team(s),#,Top 25
1929,1929 American League Player Review  Hitting Statistics League Leaderboard,1929 American League Player Review  Hitting Statistics League Leaderboard,1929 American League Player Review  Hitting Statistics League Leaderboard,1929 American League Player Review  Hitting Statistics League Leaderboard,1929 American League Player Review  Hitting Statistics League Leaderboard
1929,Statistic,Name(s),Team(s),#,Top 25
1929,Base on Balls,Max Bishop,Philadelphia,128,Top 25
1929,Batting Average,Lew Fonseca,Cleveland,.369,Top 25
1929,Doubles,Charlie Gehringer,Detroit,45,Top 25
1929,Doubles,Roy Johnson,Detroit,45,Top 25
1929,Doubles,Henie Manush,St. Louis,45,Top 25
1929,Hits,Dale Alexander,Detroit,215,Top 25
1929,Hits,Charlie Gehringer,Detroit,215,Top 25
1929,Home Runs,Babe Ruth,New York,46,Top 25
1929,On Base Percentage,Jimmie Foxx,Philadelphia,.463,Top 25
1929,RBI,Al Simmons,Philadelphia,157,Top 25
1929,Runs,Charlie Gehringer,Detroit,131,Top 25
1929,Slugging Average,Babe Ruth,New York,.697,Top 25
1929,Stolen Bases,Charlie Gehringer,Detroit,27,Top 25
1929,Total Bases,Al Simmons,Philadelphia,373,Top 25
1929,Triples,Charlie Gehringer,Detroit,19,Top 25
1929,Statistic,Name(s),Team(s),#,Top 25
1930,1930 American League Player Review Hitting Statistics League Leaderboard,1930 American League Player Review Hitting Statistics League Leaderboard,1930 American League Player Review Hitting Statistics League Leaderboard,1930 American League Player Review Hitting Statistics League Leaderboard,1930 American League Player Review Hitting Statistics League Leaderboard
1930,Statistic,Name(s),Team(s),#,Top 25
1930,Base on Balls,Babe Ruth,New York,136,Top 25
1930,Batting Average,Al Simmons,Philadelphia,.381,Top 25
1930,Doubles,Johnny Hodapp,Cleveland,51,Top 25
1930,Hits,Johnny Hodapp,Cleveland,225,Top 25
1930,Home Runs,Babe Ruth,New York,49,Top 25
1930,On Base Percentage,Babe Ruth,New York,.493,Top 25
1930,RBI,Lou Gehrig,New York,174,Top 25
1930,Runs,Al Simmons,Philadelphia,152,Top 25
1930,Slugging Average,Babe Ruth,New York,.732,Top 25
1930,Stolen Bases,Marty McManus,Detroit,23,Top 25
1930,Total Bases,Lou Gehrig,New York,419,Top 25
1930,Triples,Earle Combs,New York,22,Top 25
1930,Statistic,Name(s),Team(s),#,Top 25
1931,1931 American League Player Review  Hitting Statistics League Leaderboard,1931 American League Player Review  Hitting Statistics League Leaderboard,1931 American League Player Review  Hitting Statistics League Leaderboard,1931 American League Player Review  Hitting Statistics League Leaderboard,1931 American League Player Review  Hitting Statistics League Leaderboard
1931,Statistic,Name(s),Team(s),#,Top 25
1931,Base on Balls,Babe Ruth,New York,128,Top 25
1931,Batting Average,Al Simmons,Philadelphia,.390,Top 25
1931,Doubles,Earl Webb,Boston,67,Top 25
1931,Hits,Lou Gehrig,New York,211,Top 25
1931,Home Runs,Lou Gehrig,New York,46,Top 25
1931,Home Runs,Babe Ruth,New York,46,Top 25
1931,On Base Percentage,Babe Ruth,New York,.495,Top 25
1931,RBI,Lou Gehrig,New York,184,Top 25
1931,Runs,Lou Gehrig,New York,163,Top 25
1931,Slugging Average,Babe Ruth,New York,.700,Top 25
1931,Stolen Bases,Ben Chapman,New York,61,Top 25
1931,Total Bases,Lou Gehrig,New York,410,Top 25
1931,Triples,Roy Johnson,Detroit,19,Top 25
1931,Statistic,Name(s),Team(s),#,Top 25
1932,1932 American League Player Review ← 1931 | 1932 Hitting Statistics League Leaders | 1933 →,1932 American League Player Review ← 1931 | 1932 Hitting Statistics League Leaders | 1933 →,1932 American League Player Review ← 1931 | 1932 Hitting Statistics League Leaders | 1933 →,1932 American League Player Review ← 1931 | 1932 Hitting Statistics League Leaders | 1933 →,1932 American League Player Review ← 1931 | 1932 Hitting Statistics League Leaders | 1933 →
1932,Statistic,Name(s),Team(s),#,Top 25
1932,Base on Balls,Babe Ruth,New York,130,Top 25
1932,Batting Average,Dale Alexander *,Detroit,.367,Top 25
1932,Batting Average,Dale Alexander *,Boston,.367,Top 25
1932,Batting Average,* NOT on Top 25 List — Had Fewer Than 400 ABs,* NOT on Top 25 List — Had Fewer Than 400 ABs,* NOT on Top 25 List — Had Fewer Than 400 ABs,* NOT on Top 25 List — Had Fewer Than 400 ABs
1932,Doubles,Eric McNair,Philadelphia,47,Top 25
1932,Hits,Al Simmons,Philadelphia,216,Top 25
1932,Home Runs,Jimmie Foxx,Philadelphia,58,Top 25
1932,On Base Percentage,Babe Ruth,New York,.489,Top 25
1932,RBI,Jimmie Foxx,Philadelphia,169,Top 25
1932,Runs,Jimmie Foxx,Philadelphia,151,Top 25
1932,Slugging Average,Jimmie Foxx,Philadelphia,.749,Top 25
1932,Stolen Bases,Ben Chapman,New York,38,Top 25
1932,Total Bases,Jimmie Foxx,Philadelphia,438,Top 25
1932,Triples,Joe Cronin,Washington,18,Top 25
1932,Statistic,Name(s),Team(s),#,Top 25
1932,1932 A.L. History | 1932 N.L. History | Year-by-Year History,1932 A.L. History | 1932 N.L. History | Year-by-Year History,1932 A.L. History | 1932 N.L. History | Year-by-Year History,1932 A.L. History | 1932 N.L. History | Year-by-Year History,1932 A.L. History | 1932 N.L. History | Year-by-Year History
1933,1933 American League Player Review Hitting Statistics League Leaderboard,1933 American League Player Review Hitting Statistics League Leaderboard,1933 American League Player Review Hitting Statistics League Leaderboard,1933 American League Player Review Hitting Statistics League Leaderboard,1933 American League Player Review Hitting Statistics League Leaderboard
1933,Statistic,Name(s),Team(s),#,Top 25
1933,Base on Balls,Babe Ruth,New York,114,Top 25
1933,Batting Average,Jimmie Foxx,Philadelphia,.356,Top 25
1933,Doubles,Joe Cronin,Washington,45,Top 25
1933,Hits,Heinie Manush,Washington,221,Top 25
1933,Home Runs,Jimmie Foxx,Philadelphia,48,Top 25
1933,On Base Percentage,Mickey Cochrane,Philadelphia,.459,Top 25
1933,RBI,Jimmie Foxx,Philadelphia,163,Top 25
1933,Runs,Lou Gehrig,New York,138,Top 25
1933,Slugging Average,Jimmie Foxx,Philadelphia,.703,Top 25
1933,Stolen Bases,Ben Chapman,New York,27,Top 25
1933,Total Bases,Jimmie Foxx,Philadelphia,403,Top 25
1933,Triples,Heinie Manush,Washington,17,Top 25
1933,Statistic,Name(s),Team(s),#,Top 25
1934,1934 American League Player Review  Hitting Statistics League Leaderboard,1934 American League Player Review  Hitting Statistics League Leaderboard,1934 American League Player Review  Hitting Statistics League Leaderboard,1934 American League Player Review  Hitting Statistics League Leaderboard,1934 American League Player Review  Hitting Statistics League Leaderboard
1934,Statistic,Name(s),Team(s),#,Top 25
1934,Base on Balls,Jimmie Foxx,Philadelphia,111,Top 25
1934,Batting Average,Lou Gehrig,New York,.363,Top 25
1934,Doubles,Hank Greenberg,Detroit,63,Top 25
1934,Hits,Charlie Gehringer,Detroit,214,Top 25
1934,Home Runs,Lou Gehrig,New York,44,Top 25
1934,On Base Percentage,Lou Gehrig,New York,.465,Top 25
1934,RBI,Lou Gehrig,New York,165,Top 25
1934,Runs,Charlie Gehringer,Detroit,134,Top 25
1934,Slugging Average,Lou Gehrig,New York,.706,Top 25
1934,Stolen Bases,Billy Werber,Boston,40,Top 25
1934,Total Bases,Lou Gehrig,New York,409,Top 25
1934,Triples,Ben Chapman,New York,13,Top 25
1934,Statistic,Name(s),Team(s),#,Top 25
1935,1935 American League Player Review ← 1934 | 1935 Hitting Statistics League Leaders | 1936 →,1935 American League Player Review ← 1934 | 1935 Hitting Statistics League Leaders | 1936 →,1935 American League Player Review ← 1934 | 1935 Hitting Statistics League Leaders | 1936 →,1935 American League Player Review ← 1934 | 1935 Hitting Statistics League Leaders | 1936 →,1935 American League Player Review ← 1934 | 1935 Hitting Statistics League Leaders | 1936 →
1935,Statistic,Name(s),Team(s),#,Top 25
1935,Base on Balls,Lou Gehrig,New York,132,Top 25
1935,Batting Average,Buddy Myer,Washington,.349,Top 25
1935,Doubles,Joe Vosmik,Cleveland,47,Top 25
1935,Hits,Joe Vosmik,Cleveland,216,Top 25
1935,Home Runs,Jimmie Foxx,Philadelphia,36,Top 25
1935,Home Runs,Hank Greenberg,Detroit,36,Top 25
1935,On Base Percentage,Lou Gehrig,New York,.466,Top 25
1935,RBI,Hank Greenberg,Detroit,170,Top 25
1935,Runs,Lou Gehrig,New York,125,Top 25
1935,Slugging Average,Jimmie Foxx,Philadelphia,.636,Top 25
1935,Stolen Bases,Billy Werber,Boston,29,Top 25
1935,Total Bases,Hank Greenberg,Detroit,389,Top 25
1935,Triples,Joe Vosmik,Cleveland,20,Top 25
1935,Statistic,Name(s),Team(s),#,Top 25
1935,1935 A.L. History | 1935 N.L. History | Year-by-Year History,1935 A.L. History | 1935 N.L. History | Year-by-Year History,1935 A.L. History | 1935 N.L. History | Year-by-Year History,1935 A.L. History | 1935 N.L. History | Year-by-Year History,1935 A.L. History | 1935 N.L. History | Year-by-Year History
1936,1936 American League Player Review ← 1935 | 1936 Hitting Statistics League Leaders | 1937 →,1936 American League Player Review ← 1935 | 1936 Hitting Statistics League Leaders | 1937 →,1936 American League Player Review ← 1935 | 1936 Hitting Statistics League Leaders | 1937 →,1936 American League Player Review ← 1935 | 1936 Hitting Statistics League Leaders | 1937 →,1936 American League Player Review ← 1935 | 1936 Hitting Statistics League Leaders | 1937 →
1936,Statistic,Name(s),Team(s),#,Top 25
1936,Base on Balls,Lou Gehrig,New York,130,Top 25
1936,Batting Average,Luke Appling,Chicago,.388,Top 25
1936,Doubles,Charlie Gehringer,Detroit,60,Top 25
1936,Hits,Earl Averill,Cleveland,232,Top 25
1936,Home Runs,Lou Gehrig,New York,49,Top 25
1936,On Base Percentage,Lou Gehrig,New York,.478,Top 25
1936,RBI,Hal Trosky,Cleveland,162,Top 25
1936,Runs,Lou Gehrig,New York,167,Top 25
1936,Slugging Average,Lou Gehrig,New York,.696,Top 25
1936,Stolen Bases,Lyn Lary,St. Louis,37,Top 25
1936,Total Bases,Hal Trosky,Cleveland,405,Top 25
1936,Triples,Earl Averill,Cleveland,18,Top 25
1936,Triples,Joe DiMaggio,New York,18,Top 25
1936,Triples,Red Rolfe,New York,18,Top 25
1936,Statistic,Name(s),Team(s),#,Top 25
1936,1936 A.L. History | 1936 N.L. History | Year-by-Year History,1936 A.L. History | 1936 N.L. History | Year-by-Year History,1936 A.L. History | 1936 N.L. History | Year-by-Year History,1936 A.L. History | 1936 N.L. History | Year-by-Year History,1936 A.L. History | 1936 N.L. History | Year-by-Year History
1937,1937 American League Player Review Hitting Statistics League Leaderboard,1937 American League Player Review Hitting Statistics League Leaderboard,1937 American League Player Review Hitting Statistics League Leaderboard,1937 American League Player Review Hitting Statistics League Leaderboard,1937 American League Player Review Hitting Statistics League Leaderboard
1937,Statistic,Name(s),Team(s),#,Top 25
1937,Base on Balls,Lou Gehrig,New York,127,Top 25
1937,Batting Average,Charlie Gehringer,Detroit,.371,Top 25
1937,Doubles,Beau Bell,St. Louis,51,Top 25
1937,Hits,Beau Bell,St. Louis,218,Top 25
1937,Home Runs,Joe DiMaggio,New York,46,Top 25
1937,On Base Percentage,Lou Gehrig,New York,.473,Top 25
1937,RBI,Hank Greenberg,Detroit,183,Top 25
1937,Runs,Joe DiMaggio,New York,151,Top 25
1937,Slugging Average,Joe DiMaggio,New York,.673,Top 25
1937,Stolen Bases,Ben Chapman,Washington,35,Top 25
1937,Stolen Bases,Ben Chapman,Boston,35,Top 25
1937,Stolen Bases,Billy Werber,Philadelphia,35,Top 25
1937,Total Bases,Joe DiMaggio,New York,418,Top 25
1937,Triples,Mike Kreevich,Chicago,16,Top 25
1937,Triples,Dixie Walker,Chicago,16,Top 25
1937,Statistic,Name(s),Team(s),#,Top 25
1938,1938 American League Player Review Hitting Statistics League Leaderboard,1938 American League Player Review Hitting Statistics League Leaderboard,1938 American League Player Review Hitting Statistics League Leaderboard,1938 American League Player Review Hitting Statistics League Leaderboard,1938 American League Player Review Hitting Statistics League Leaderboard
1938,Statistic,Name(s),Team(s),#,Top 25
1938,Base on Balls,Jimmie Foxx,Boston,119,Top 25
1938,Base on Balls,Hank Greenberg,Detroit,119,Top 25
1938,Batting Average,Jimmie Foxx,Boston,.349,Top 25
1938,Doubles,Joe Cronin,Boston,51,Top 25
1938,Hits,Joe Vosmik,Boston,201,Top 25
1938,Home Runs,Hank Greenberg,Detroit,58,Top 25
1938,On Base Percentage,Jimmie Foxx,Boston,.462,Top 25
1938,RBI,Jimmie Foxx,Boston,175,Top 25
1938,Runs,Hank Greenberg,Detroit,144,Top 25
1938,Slugging Average,Jimmie Foxx,Boston,.704,Top 25
1938,Stolen Bases,Frankie Crosetti,New York,27,Top 25
1938,Total Bases,Jimmie Foxx,Boston,398,Top 25
1938,Triples,Jeff Heath,Cleveland,18,Top 25
1938,Statistic,Name(s),Team(s),#,Top 25
1939,1939 American League Player Review  Hitting Statistics League Leaderboard,1939 American League Player Review  Hitting Statistics League Leaderboard,1939 American League Player Review  Hitting Statistics League Leaderboard,1939 American League Player Review  Hitting Statistics League Leaderboard,1939 American League Player Review  Hitting Statistics League Leaderboard
1939,Statistic,Name(s),Team(s),#,Top 25
1939,Base on Balls,Harlond Clift,St. Louis,111,Top 25
1939,Batting Average,Joe DiMaggio,New York,.381,Top 25
1939,Doubles,Red Rolfe,New York,46,Top 25
1939,Hits,Red Rolfe,New York,213,Top 25
1939,Home Runs,Jimmie Foxx,Boston,35,Top 25
1939,On Base Percentage,Jimmie Foxx,Boston,.464,Top 25
1939,RBI,Ted Williams,Boston,145,Top 25
1939,Runs,Red Rolfe,New York,139,Top 25
1939,Slugging Average,Jimmie Foxx,Boston,.694,Top 25
1939,Stolen Bases,George Case,Washington,51,Top 25
1939,Total Bases,Ted Williams,Boston,344,Top 25
1939,Triples,Buddy Lewis,Washington,16,Top 25
1939,Statistic,Name(s),Team(s),#,Top 25
